area_sqft,bedrooms,age,distance_to_city_km,has_garage,price
1360,4,0,0.33,1,168442.91
1794,4,7,27.16,1,173179.28
1630,6,45,2.74,0,257333.53
1595,2,15,9.58,1,157909.76
2138,3,13,28.5,0,127843.68
2669,1,11,28.52,0,160631.55
966,5,50,17.2,1,132503.62
1738,1,22,18.96,0,87945.75
830,1,14,13.45,0,72160.66
1982,3,27,8.8,1,112895.23
2635,1,33,9.86,1,199633.74
3419,2,1,20.18,0,275663.09
630,2,31,22.57,0,56511.29
2185,4,22,23.75,1,158051.03
1269,6,21,23.69,1,88709.96
2891,5,50,2.74,1,275485.58
2015,1,24,14.83,1,116372.21
3353,1,21,1.73,0,264965.37
2933,3,21,16.49,1,245118.66
1715,6,48,13.25,1,141333.82
1455,2,41,26.63,0,96920.92
2824,5,5,10.53,1,273398.68
1684,4,14,3.51,1,218209.78
959,2,42,4.29,0,22093.34
521,6,36,22.85,0,24873.6
2800,4,32,18.55,1,254207.0
1247,3,7,3.03,1,118269.32
3404,3,43,2.52,1,298287.52
974,1,43,21.03,1,47832.83
1582,6,4,2.18,1,212541.9
3058,5,38,24.66,1,236701.41
2547,4,3,21.19,1,227814.06
3247,2,5,2.44,1,268652.76
1475,6,44,2.55,1,204738.15
2306,6,31,29.6,1,197986.3
689,3,29,11.23,1,78164.85
3234,1,46,11.12,1,324479.28
1062,1,34,24.38,1,18078.89
2399,4,39,28.42,0,211092.55
1767,3,15,29.58,1,48169.4
3379,6,12,22.6,0,230566.01
2028,5,49,11.29,0,145295.22
1146,3,41,2.51,1,87994.11
2568,4,29,23.31,1,217772.24
3388,4,18,16.75,1,302931.01
2714,3,16,12.73,1,229422.04
1797,4,18,27.19,0,126582.4
2935,3,27,3.34,1,285511.09
1100,2,25,14.78,1,113689.21
2863,3,36,0.34,1,226962.61
2561,3,25,14.06,1,208153.63
741,4,22,1.69,0,94114.11
2541,4,8,3.56,1,270910.4
3324,1,11,3.53,1,258838.41
3112,1,0,19.48,0,219330.75
3445,2,0,22.38,0,255736.82
1863,1,46,17.5,1,103803.77
2639,3,33,28.87,1,170990.19
1890,4,31,11.25,1,183820.14
1978,1,47,8.57,1,147736.92
3056,1,24,26.06,1,225978.38
1275,2,39,6.71,1,82336.49
534,6,44,28.9,1,46006.2
2753,2,0,0.36,1,251634.25
2455,3,15,29.1,0,193373.19
2085,4,38,1.29,1,185697.99
1521,2,4,26.73,1,112850.97
3113,1,21,15.83,1,244610.6
1629,4,28,29.79,0,158334.03
2000,4,2,2.21,1,187659.53
1202,1,11,16.62,1,66361.74
2949,2,25,29.08,0,164891.18
3277,1,15,15.69,0,187430.75
2079,6,50,18.88,0,235996.69
661,4,36,20.87,1,24290.04
701,5,21,13.64,1,71968.37
2481,5,28,18.83,0,250499.51
1495,3,13,17.53,0,63397.93
2817,1,27,27.03,1,211531.07
1315,1,4,1.36,1,85682.49
955,3,46,8.43,1,131843.05
1775,3,48,28.51,0,39078.98
1516,3,29,26.71,1,56110.09
2843,4,45,13.67,1,231002.93
3267,6,4,18.6,1,338906.72
837,1,11,8.32,1,72538.38
1378,4,15,5.64,1,146631.28
1576,3,25,13.91,1,180889.42
1291,1,25,10.6,0,149986.05
2764,4,47,17.51,1,252818.35
1263,6,20,2.33,1,157690.29
2735,4,38,29.23,1,197492.02
879,6,35,29.59,1,47243.93
992,3,32,20.94,1,80294.82
1680,6,29,16.08,1,130196.43
2562,1,36,9.29,1,217344.25
564,3,22,24.41,1,99759.52
3068,1,9,20.54,1,249733.88
1867,5,4,4.88,0,184128.55
1652,2,35,27.33,1,120062.49
2527,6,33,24.68,0,261873.77
3195,2,30,28.49,1,274226.84
1995,2,9,21.77,0,106794.09
1662,6,18,18.4,0,177163.98
2022,3,31,12.55,1,172072.37
3140,5,0,27.98,1,294434.09
891,1,4,25.98,1,56424.59
2198,4,44,1.36,1,149635.24
918,1,3,0.79,0,72367.59
2836,4,15,11.29,0,252998.95
878,1,23,24.32,0,-17474.15
2296,6,15,29.62,1,223624.09
2778,5,1,4.51,0,227144.53
2588,4,48,17.82,0,178638.99
2682,3,27,11.43,1,273495.91
700,1,31,29.1,1,-12558.2
2363,1,26,25.26,0,158631.87
1279,4,19,25.15,1,55763.07
3477,3,23,14.06,0,340427.85
1002,3,11,12.44,1,93284.22
2954,6,49,8.2,0,277625.2
2251,6,34,1.69,1,257168.57
1304,6,32,25.94,1,146463.66
2646,6,32,24.39,1,193130.54
3231,6,50,29.99,0,252836.85
2395,6,42,29.9,0,169338.73
3273,5,36,16.66,1,240227.38
2070,3,11,23.07,1,196224.42
1460,6,2,28.34,0,120848.87
3160,3,0,25.49,1,260096.77
1985,3,32,7.42,0,174154.48
3190,2,39,13.52,1,243471.78
1528,5,9,3.87,1,245591.26
1002,6,42,28.62,1,93799.0
3314,1,43,18.19,1,193960.95
897,4,28,6.86,0,84229.99
1370,1,12,20.15,1,107090.09
3342,5,11,18.54,1,317400.16
892,4,30,10.74,0,54736.81
706,5,45,3.41,1,136801.02
1538,3,1,20.15,1,80509.6
2381,4,50,15.61,0,224085.59
3439,3,49,23.17,0,208050.46
1984,1,34,15.6,1,135822.83
1363,1,22,25.57,0,94146.17
3290,4,16,16.56,0,276073.76
1063,4,25,16.83,1,130134.68
1520,6,7,26.3,1,172110.64
595,5,28,12.1,0,112179.09
2423,6,25,4.02,0,280915.38
2257,5,9,0.86,1,237070.71
3032,6,25,22.65,0,279490.01
2778,3,33,18.61,0,163674.87
3296,4,50,21.12,1,265198.07
2178,1,40,6.39,1,199016.69
1040,5,6,4.09,1,151933.14
1559,5,3,0.44,0,196196.51
3072,1,49,10.52,1,228176.58
1683,6,44,17.7,1,204717.02
2222,5,10,11.77,0,208312.88
2319,3,28,13.12,0,171508.0
3125,4,35,27.12,1,273096.0
3229,1,24,10.45,0,198869.87
3104,4,20,15.42,1,288511.63
2097,5,35,23.51,0,137216.27
3193,5,9,11.9,1,341835.24
1295,1,36,18.66,1,72843.98
1551,3,8,25.87,0,109587.72
2143,2,23,28.49,1,157795.87
1863,1,34,4.41,1,97425.05
2481,2,48,27.8,0,130567.2
1854,6,34,14.76,0,210199.4
2163,2,47,7.75,0,191128.29
2029,3,35,13.77,0,167012.82
2538,6,17,29.4,1,184804.14
1996,2,48,14.78,1,169888.02
2737,6,38,9.86,1,294336.89
1908,2,31,19.0,1,144196.47
1900,3,23,7.2,0,202236.39
1806,2,22,2.28,1,150725.25
3180,2,31,3.87,1,259521.49
3175,2,36,3.84,1,198178.9
1472,1,11,4.56,0,144390.66
2268,1,48,4.16,1,192726.23
1782,1,12,19.23,1,76452.91
1209,3,22,5.46,1,76349.22
1979,6,24,10.37,0,175001.04
1934,5,34,26.9,1,187822.43
1148,2,40,14.22,0,64391.49
817,2,29,20.03,0,15012.93
1757,3,16,5.17,1,145437.33
1183,2,48,5.77,0,58775.3
1163,1,19,1.23,0,37927.53
2498,5,47,5.07,0,197032.02
2131,4,24,8.36,1,176247.24
1995,2,21,5.31,1,201108.07
1636,1,12,2.66,0,128386.16
2353,4,18,3.62,1,212934.3
2020,5,48,13.82,0,246444.96
2989,4,35,6.19,0,242573.07
